Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
18,@,Bayern Munich,22,40,55.0%,6,21,28.6%,16,20,80.0%,12,25,37,10,8,14,2,3,21,19,85,82,72,1,154,10
19,vs,Zalgiris,22,37,59.5%,9,26,34.6%,9,12,75.0%,3,18,21,20,6,5,3,1,18,19,90,80,93,0,173,-13
20,vs,Dubai,26,44,59.1%,4,19,21.1%,21,22,95.5%,14,33,47,9,10,11,0,6,17,21,104,85,60,1,145,25
21,@,Asvel,28,42,66.7%,3,15,20.0%,16,19,84.2%,9,24,33,16,7,17,2,1,17,26,101,81,73,1,154,8
22,vs,Anadolu Efes,13,31,41.9%,10,26,38.5%,15,23,65.2%,10,24,34,14,6,10,5,3,19,23,79,71,66,1,137,5
23,@,Partizan,21,36,58.3%,13,31,41.9%,20,27,74.1%,8,24,32,20,9,17,2,3,22,24,106,101,104,0,205,-3
24,vs,Bayern Munich,20,37,54.1%,5,30,16.7%,9,12,75.0%,14,21,35,13,9,16,1,4,16,19,60,64,79,0,143,-15
25,@,Crvena Zvezda,13,30,43.3%,15,29,51.7%,4,10,40.0%,6,18,24,19,11,12,4,2,22,21,81,75,87,0,162,-12
26,vs,Valencia (OT),26,37,70.3%,10,36,27.8%,17,21,81.0%,11,22,33,22,5,13,5,4,25,22,103,99,104,0,203,-5
27,@,Zalgiris,25,39,64.1%,9,19,47.4%,5,8,62.5%,7,18,25,15,5,16,3,1,18,17,85,82,93,0,175,-11
28,vs,Armani Milan,27,43,62.8%,7,17,41.2%,17,19,89.5%,5,27,32,16,5,11,4,2,23,18,103,92,86,1,178,6
29,@,Barcelona,23,34,67.6%,6,20,30.0%,16,25,64.0%,9,28,37,19,4,17,3,3,17,22,94,80,75,1,155,5
30,vs,Paris,23,35,65.7%,11,28,39.3%,14,18,77.8%,5,26,31,21,9,12,2,1,15,17,112,93,82,1,175,11
31,vs,Virtus,28,39,71.8%,12,24,50.0%,17,21,81.0%,4,26,30,32,9,13,2,3,21,23,141,109,91,1,200,18
32,@,Real Madrid,25,44,56.8%,7,23,30.4%,12,13,92.3%,7,22,29,18,3,9,1,5,21,18,81,83,92,0,175,-9
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.5
Average,,,22.7,37.9,59.6%,9.2,24.8,36.9%,14.2,17.9,79.1%,8.7,24.3,33,17.3,6.3,12.4,2.8,2.9,19.7,20.6,97.7,87.1,83.6,20,170.7,
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
